region,field,field_name,stat,2016,2017,2018,2019,2020,2021,2022,2023
Нижегородская область,2,"Инженерное дело, технологии и технические науки",Поданные,54.54,52.4,52.71,50.22,46.62,44.52,48.16,50.12
Нижегородская область,2,"Инженерное дело, технологии и технические науки",Принятые,53.45,15.93,14.64,15.58,14.38,16.23,13.78,14.29
Нижегородская область,3,Здравоохранение и медицинские науки,Поданные,10.1,8.01,7.71,6.38,8.71,9.5,8.75,8.03
Нижегородская область,3,Здравоохранение и медицинские науки,Принятые,7.96,9.18,12.15,12.78,12.32,13.2,13.33,18.06
Нижегородская область,4,Сельское хозяйство и сельскохозяйственные науки,Поданные,3.55,3,2.95,2.83,2.17,2.84,2.13,2.23
Нижегородская область,4,Сельское хозяйство и сельскохозяйственные науки,Принятые,5.78,0.12,0.08,0.17,0.13,1.32,0.25,0.18
Нижегородская область,5,Науки об обществе,Поданные,22.78,26.62,25.96,29.28,31.95,32.78,31.29,30.8
Нижегородская область,5,Науки об обществе,Принятые,23.68,13.87,14.39,12.13,14.26,14.07,13.24,4.91
Нижегородская область,6,Образование и педагогические науки,Поданные,4.08,4.34,4.58,5.59,5.83,4.83,3.57,3.55
Нижегородская область,6,Образование и педагогические науки,Принятые,3.93,35.27,31.91,31.11,31.75,31.04,34.03,38.67
Нижегородская область,7,Гуманитарные науки,Поданные,1.32,1.68,1.63,2.13,1.51,2.23,2.01,1.22
Нижегородская область,7,Гуманитарные науки,Принятые,1.32,9.79,9.65,10.71,9.38,9.89,9.41,5.32
Нижегородская область,8,Искусство и культура,Поданные,3.63,3.95,4.45,3.56,3.21,3.3,4.1,4.05
Нижегородская область,8,Искусство и культура,Принятые,3.88,15.84,17.18,17.51,17.79,14.24,15.97,18.56
Нижегородская область,1,Математические и естественные науки,Поданные,NA,NA,0,NA,NA,NA,NA,NA
Нижегородская область,1,Математические и естественные науки,Принятые,NA,NA,0,NA,NA,NA,NA,NA
Самарская область,2,"Инженерное дело, технологии и технические науки",Поданные,52.62,50.62,50.37,48.3,47.87,48.34,48.69,48.72
Самарская область,2,"Инженерное дело, технологии и технические науки",Принятые,54.33,14.49,16.64,14.87,15.68,12.88,16.94,22.45
Самарская область,3,Здравоохранение и медицинские науки,Поданные,12.87,13.59,12.6,15.04,13.67,13.87,13.86,15.13
Самарская область,3,Здравоохранение и медицинские науки,Принятые,11.77,7.84,8,10.09,9.92,10.07,12.13,2.96
Самарская область,4,Сельское хозяйство и сельскохозяйственные науки,Поданные,3.76,3.42,3.56,3.28,2.46,3.2,3.95,3.13
Самарская область,4,Сельское хозяйство и сельскохозяйственные науки,Принятые,4.9,0.51,0.28,0.45,0.17,0.61,0.25,1.35
Самарская область,5,Науки об обществе,Поданные,19.68,21.16,22.1,21.28,23.83,22.7,21.4,20.63
Самарская область,5,Науки об обществе,Принятые,18.5,17.37,21.12,13.91,15.36,15.6,12.25,12.37
Самарская область,6,Образование и педагогические науки,Поданные,6.04,6.29,5.9,6.31,6.12,5.55,4.88,5.19
Самарская область,6,Образование и педагогические науки,Принятые,6.19,37.54,33,39.54,36.25,39.21,37.11,30.77
Самарская область,7,Гуманитарные науки,Поданные,1.32,1.33,1.03,1.14,1,1.11,1.24,1.43
Самарская область,7,Гуманитарные науки,Принятые,1.32,6.43,4.87,4.56,6.18,6.83,7.52,6.03
Самарская область,8,Искусство и культура,Поданные,3.72,3.6,4.44,4.65,5.05,5.24,5.98,5.77
Самарская область,8,Искусство и культура,Принятые,3,15.81,16.09,16.58,16.43,14.79,13.8,24.06
